Forecast timestamp;Position;Forecast base;2 metre temperature;Minimum temperature at 2 metres;Maximum temperature at 2 metres;Relative humidity;Total water precipitation;Wind speed;Downward short-wave radiation flux;Surface latent heat flux;Surface sensible heat flux;Surface net solar radiation;Surface net thermal radiation;Commune;code_commune
2021-04-11T09:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;9,31875;7,689844;9,31875;94,343002;0,000977;1,472149;336968,2188;-71051;53555;276629;-271548;Gardanne;13041
2021-04-11T09:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;9,365625;8,392969;9,365625;96,046127;0;1,581524;315528,2188;-134923;71219;257461;-193532;Gardanne;13041
2021-04-11T08:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;8,022852;7,667139;8,016016;93,604736;0,004883;0,785493;111592;-71513;101060;95608;-214430;Gardanne;13041
2021-04-11T08:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;8,627344;7,917139;8,625391;90,604736;0;0,816743;110560;-42073;43844;95056;-313054;Gardanne;13041
2021-04-11T08:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;7,730859;7,245264;7,734766;94,651611;0,001953;0,887055;112080;-27289;59844;92064;-257630;Gardanne;13041
2021-04-11T08:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,551172;7,839014;8,547266;96,057861;0;1,101899;94448;-82521;206404;79776;-305182;Gardanne;13041
2021-04-11T08:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;8,288477;7,948389;8,281641;93,057861;0;0,094087;93016;-70169;87748;75912;-175582;Gardanne;13041
2021-04-11T06:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;8,714502;8,719629;8,919336;90,581894;0;1,730458;0;-64282;63328,375;0;-27245,875;Gardanne;13041
2021-04-11T06:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;8,798486;8,547754;8,841211;89,738144;0,004883;1,480458;0;-45050;61216,375;0;-16797,875;Gardanne;13041
2021-04-11T07:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;8,017969;7,830469;8,665674;93,843781;0;0,876304;0;-66939;83816;0;-141531,375;Gardanne;13041
2021-04-11T07:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;7,992578;8,002344;8,946924;93,796906;0,004883;0,712242;0;-61499;95208;0;-135259,375;Gardanne;13041
2021-04-11T06:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;9,420557;9,422754;9,747461;88,394394;0;0,816395;0;-41754;39936,375;0;-84045,875;Gardanne;13041
2021-04-11T07:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,226953;8,080469;8,618799;95,750031;0;1,360679;0;-79803;198248;0;-250363,375;Gardanne;13041
2021-04-11T06:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;8,902979;8,907129;9,169336;90,753769;0,001465;1,51952;0;-23962;30720,375;0;-26717,875;Gardanne;13041
2021-04-11T07:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;8,339258;8,346094;9,165674;91,984406;0;1,423179;0;-32891;54312;0;-235067,375;Gardanne;13041
2021-04-11T06:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,835596;8,782129;9,091211;93,285019;0,000488;1,949208;0;-83066;135072,375;0;-97949,875;Gardanne;13041
2021-04-11T07:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;7,464258;7,455469;8,868799;94,906281;0,000977;1,610679;0;-24251;54120;0;-172859,375;Gardanne;13041
2021-04-11T05:00:00+02:00;43,475,5,45;2021-04-11T05:00:00+02:00;8,711572;;;87,394806;;2,357613;;;;;;Gardanne;13041
2021-04-11T05:00:00+02:00;43,475,5,475;2021-04-11T05:00:00+02:00;8,883447;;;87,191681;;3,25605;;;;;;Gardanne;13041
2021-04-11T05:00:00+02:00;43,45,5,45;2021-04-11T05:00:00+02:00;9,132471;;;86,176056;;2,834175;;;;;;Gardanne;13041
2021-04-11T05:00:00+02:00;43,45,5,475;2021-04-11T05:00:00+02:00;9,647119;;;84,738556;;3,146675;;;;;;Gardanne;13041
2021-04-11T05:00:00+02:00;43,45,5,5;2021-04-11T05:00:00+02:00;8,6979;;;88,082306;;4,021675;;;;;;Gardanne;13041
